,r,fc,fl
0,0.0000,0.6060132,0.0
0,0.0100,0.38672360000000006,0.00040000000000000013
0,0.0200,0.36775959999999996,0.0058736000000000005
0,0.0300,0.19572319999999999,0.005361599999999998
0,0.0400,0.12371040000000001,0.033281599999999995
0,0.0500,0.11122800000000001,0.0176372
0,0.0600,0.0743452,0.043063599999999994
0,0.0700,0.06005920000000001,0.060522400000000004
0,0.0800,0.07087039999999999,0.0507324
0,0.0900,0.0384276,0.0522552
0,0.1000,0.034033600000000004,0.056247200000000004
0,0.1100,0.05519840000000001,0.0324084
0,0.1200,0.028427599999999997,0.0521944
0,0.1300,0.0367944,0.0415092
0,0.1400,0.0220216,0.04755680000000001
0,0.1500,0.0472464,0.08744439999999999
0,0.1600,0.012412000000000001,0.06686800000000001
0,0.1700,0.013212799999999999,0.11023080000000002
0,0.1800,0.026024400000000007,0.10108519999999999
0,0.1900,0.0327676,0.08866919999999999
0,0.2000,0.027226800000000006,0.07582000000000001
0,0.2100,0.008007600000000004,0.1343156
0,0.2200,0.0,0.0656
0,0.2300,0.010409999999999997,0.17916679999999996
0,0.2400,0.015584800000000001,0.12794
0,0.2500,0.0020016000000000005,0.1267968
0,0.2600,0.0067935999999999995,0.16435039999999998
0,0.2700,0.0,0.1524
0,0.2800,0.0008004000000000003,0.1175608
0,0.2900,0.0,0.134
0,0.3000,0.002797599999999999,0.1091336
0,0.3100,0.0,0.1856
0,0.3200,0.0,0.1476
0,0.3300,0.0,0.1552
0,0.3400,0.0,0.166
0,0.3500,0.0,0.1976
0,0.3600,0.0,0.1752
0,0.3700,0.0,0.2136
0,0.3800,0.0,0.2108
0,0.3900,0.0,0.1792
0,0.4000,0.0,0.1328
0,0.4100,0.0,0.194
0,0.4200,0.0,0.2044
0,0.4300,0.0,0.224
0,0.4400,0.0,0.2268
0,0.4500,0.0,0.2184
0,0.4600,0.0,0.1824
0,0.4700,0.0,0.152
0,0.4800,0.0075928,0.1980524
0,0.4900,0.0,0.1852
